07005;38
07005;63
07005;68
07005;70
07005;74
07005;76
07005;79
07005;89
07005;89
07005;92
07005;93
07015;52
07015;52
07015;55
07015;55
07015;75
07015;77
07015;78
07015;83
07015;87
07015;88
07015;91
07015;92
07020;66
07020;75
07020;77
07020;83
07020;85
07020;85
07020;95
07027;54
07027;64
07027;87
07027;87
07027;91
07027;91
07027;92
07027;93
07027;93
07037;35
07037;56
07037;65
07037;75
07037;79
07037;86
07037;88
07037;94
07037;99
07110;73
07110;74
07110;83
07110;84
07110;87
07110;91
07110;91
07110;96
07117;65
07117;67
07117;79
07117;80
07117;80
07117;84
07117;85
07130;46
07130;54
07130;72
07130;78
07130;84
07130;84
07130;85
07130;94
07139;50
07139;70
07139;80
07139;86
07139;89
07139;96
07149;40
07149;44
07149;49
07149;49
07149;53
07149;69
07149;72
07149;83
07149;90
07149;91
07149;94
07168;48
07168;67
07168;82
07168;84
07168;84
07168;85
07168;86
07168;89
07168;96
07168;97
07181;59
07181;72
07181;77
07181;90
07181;91
07181;93
07190;24
07190;34
07190;38
07190;56
07190;78
07190;85
07207;50
07207;80
07207;81
07207;83
07207;89
07207;91
07207;94
07222;43
07222;54
07222;63
07222;70
07222;82
07222;84
07222;89
07222;94
07240;48
07240;61
07240;62
07240;66
07240;71
07240;79
07240;81
07240;92
07255;22
07255;23
07255;42
07255;50
07255;66
07255;86
07255;88
07255;93
07280;24
07280;57
07280;64
07280;75
07280;76
07280;91
07280;97
07299;45
07299;67
07299;74
07299;79
07299;82
07299;96
07314;68
07314;77
07314;81
07314;83
07314;83
07314;86
07314;87
07314;88
07314;89
07314;93
07335;47
07335;59
07335;63
07335;63
07335;67
07335;67
07335;69
07335;83
07335;87
07335;89
07335;90
07335;91
07335;96
07434;100
07434;67
07434;79
07434;83
07434;89
07434;90
07434;91
07434;93
07434;96
07460;37
07460;51
07460;52
07460;56
07460;68
07460;72
07460;75
07460;76
07460;85
07471;61
07471;65
07471;80
07471;81
07471;86
07471;89
07471;96
07481;28
07481;46
07481;64
07481;74
07481;76
07481;84
07481;88
07510;22
07510;45
07510;52
07510;52
07510;53
07510;59
07510;68
07510;78
07510;79
07510;80
07510;82
07510;84
07510;90
07510;97
07510;97
07535;30
07535;40
07535;45
07535;61
07535;61
07535;78
07535;83
07535;84
07535;90
07558;100
07558;44
07558;49
07558;65
07558;70
07558;80
07558;92
07577;36
07577;44
07577;53
07577;61
07577;78
07577;82
07577;82
07577;86
07577;90
07577;94
07577;96
07591;67
07591;80
07591;80
07591;85
07591;92
07607;39
07607;45
07607;49
07607;58
07607;59
07607;59
07607;86
07607;90
07607;91
07607;92
07607;93
07621;64
07621;74
07621;77
07621;77
07621;78
07621;87
07621;88
07621;93
07621;95
07621;96
07627;42
07627;78
07627;78
07627;84
07627;98
07630;45
07630;54
07630;61
07630;69
07630;69
07630;70
07630;81
07630;94
07643;38
07643;56
07643;73
07643;84
07643;90
07643;97
07650;47
07650;50
07650;59
07650;66
07650;82
07650;91
07650;92
07661;50
07661;54
07661;61
07661;67
07661;72
07661;76
07661;83
07661;87
07661;92
07661;96
07690;28
07690;41
07690;55
07690;57
07690;58
07690;71
07690;74
07690;74
07690;80
07747;43
07747;52
07747;87
07747;87
07747;93
07761;78
07761;92
07761;93
07761;94
07761;94
07790;48
07790;69
07790;73
07790;83
07790;84
07790;89
07790;89
07790;91
07790;94
61968;57
61968;76
61968;98
61970;63
61970;68
61970;68
61970;68
61970;70
61970;70
61970;74
61970;76
61970;77
61970;82
61970;85
61970;90
61972;
61972;
61972;
61972;
61972;
61972;
61972;57
61972;64
61972;64
61972;64
61972;70
61972;75
61972;83
61976;69
61976;69
61976;70
61976;71
61976;75
61976;76
61976;77
61976;77
61976;83
61976;94
61980;70
61980;70
61980;70
61980;77
61980;77
61980;79
61980;80
61980;82
61980;86
61996;69
61996;78
61996;85
61996;92
61996;93
61996;99
61997;77
61997;81
61997;81
61997;81
61997;83
61997;92
61997;93
61997;94
61997;95
61997;97
61998;66
61998;67
61998;76
61998;77
61998;78
61998;81
61998;82
61998;88
61998;91
67005;62
67005;72
67005;72
67005;73
67005;73
67005;75
67005;78
67005;84
67005;85
67005;89
67005;94
67005;96
71805;100
71805;100
71805;100
71805;100
71805;100
71805;78
71805;91
71805;94
71805;94
71805;95
71805;98
71805;98
71805;98
71805;99
78897;58
78897;66
78897;68
78897;75
78897;78
78897;81
78897;81
78897;91
78897;94
78897;95
78897;96
78897;96
78922;73
78922;81
78922;85
78922;94
78925;68
78925;68
78925;71
78925;80
78925;80
78925;83
78925;83
78925;84
78925;85
78925;89
78925;94
81401;70
81401;96
81405;67
81405;73
81405;76
81405;77
81405;86
81405;89
81405;89
81408;
81408;69
81408;73
81408;74
81408;90
81408;94
81408;95
81408;96
81415;100
81415;100
81415;100
81415;60
81415;66
81415;72
81415;80
81415;95
81415;99
89642;32
89642;41
89642;44
89642;52
89642;58
89642;64
89642;67
89642;86
